,N,c,n,replicate,th
390,40.0,0.69625,5.0,40.0,0.27931034482758615
391,40.0,0.673125,5.0,41.0,0.27931034482758615
392,40.0,0.713125,5.0,42.0,0.27931034482758615
393,40.0,0.736875,5.0,43.0,0.27931034482758615
394,40.0,0.738125,5.0,44.0,0.27931034482758615
395,40.0,0.725625,5.0,45.0,0.27931034482758615
396,40.0,0.679375,5.0,46.0,0.27931034482758615
397,40.0,0.726875,5.0,47.0,0.27931034482758615
398,40.0,0.66375,5.0,48.0,0.27931034482758615
399,40.0,0.701875,5.0,49.0,0.27931034482758615
400,40.0,0.668125,5.0,0.0,0.31206896551724134
401,40.0,0.71,5.0,1.0,0.31206896551724134
402,40.0,0.725625,5.0,2.0,0.31206896551724134
403,40.0,0.693125,5.0,3.0,0.31206896551724134
404,40.0,0.694375,5.0,4.0,0.31206896551724134
405,40.0,0.67,5.0,5.0,0.31206896551724134
406,40.0,0.71125,5.0,6.0,0.31206896551724134
407,40.0,0.7225,5.0,7.0,0.31206896551724134
408,40.0,0.750625,5.0,8.0,0.31206896551724134
409,40.0,0.713125,5.0,9.0,0.31206896551724134
410,40.0,0.67875,5.0,10.0,0.31206896551724134
411,40.0,0.72125,5.0,11.0,0.31206896551724134
412,40.0,0.75125,5.0,12.0,0.31206896551724134
413,40.0,0.7475,5.0,13.0,0.31206896551724134
414,40.0,0.705,5.0,14.0,0.31206896551724134
415,40.0,0.71,5.0,15.0,0.31206896551724134
416,40.0,0.68875,5.0,16.0,0.31206896551724134
417,40.0,0.71875,5.0,17.0,0.31206896551724134
418,40.0,0.733125,5.0,18.0,0.31206896551724134
419,40.0,0.70875,5.0,19.0,0.31206896551724134
420,40.0,0.675,5.0,20.0,0.31206896551724134
421,40.0,0.67125,5.0,21.0,0.31206896551724134
422,40.0,0.71625,5.0,22.0,0.31206896551724134
423,40.0,0.6775,5.0,23.0,0.31206896551724134
424,40.0,0.699375,5.0,24.0,0.31206896551724134
425,40.0,0.64,5.0,25.0,0.31206896551724134
426,40.0,0.66375,5.0,26.0,0.31206896551724134
427,40.0,0.713125,5.0,27.0,0.31206896551724134
428,40.0,0.69875,5.0,28.0,0.31206896551724134
429,40.0,0.69,5.0,29.0,0.31206896551724134
430,40.0,0.685,5.0,30.0,0.31206896551724134
431,40.0,0.725625,5.0,31.0,0.31206896551724134
432,40.0,0.699375,5.0,32.0,0.31206896551724134
433,40.0,0.6675,5.0,33.0,0.31206896551724134
434,40.0,0.74125,5.0,34.0,0.31206896551724134
435,40.0,0.7225,5.0,35.0,0.31206896551724134
436,40.0,0.686875,5.0,36.0,0.31206896551724134
437,40.0,0.704375,5.0,37.0,0.31206896551724134
438,40.0,0.701875,5.0,38.0,0.31206896551724134
439,40.0,0.681875,5.0,39.0,0.31206896551724134
440,40.0,0.72125,5.0,40.0,0.31206896551724134
441,40.0,0.68375,5.0,41.0,0.31206896551724134
442,40.0,0.720625,5.0,42.0,0.31206896551724134
443,40.0,0.705,5.0,43.0,0.31206896551724134
444,40.0,0.67,5.0,44.0,0.31206896551724134
445,40.0,0.670625,5.0,45.0,0.31206896551724134
446,40.0,0.654375,5.0,46.0,0.31206896551724134
447,40.0,0.624375,5.0,47.0,0.31206896551724134
448,40.0,0.7225,5.0,48.0,0.31206896551724134
449,40.0,0.7125,5.0,49.0,0.31206896551724134
450,40.0,0.620625,5.0,0.0,0.3448275862068965
451,40.0,0.654375,5.0,1.0,0.3448275862068965
452,40.0,0.58375,5.0,2.0,0.3448275862068965
453,40.0,0.59375,5.0,3.0,0.3448275862068965
454,40.0,0.6475,5.0,4.0,0.3448275862068965
455,40.0,0.628125,5.0,5.0,0.3448275862068965
456,40.0,0.615625,5.0,6.0,0.3448275862068965
457,40.0,0.654375,5.0,7.0,0.3448275862068965
458,40.0,0.614375,5.0,8.0,0.3448275862068965
459,40.0,0.62375,5.0,9.0,0.3448275862068965
460,40.0,0.614375,5.0,10.0,0.3448275862068965
461,40.0,0.62375,5.0,11.0,0.3448275862068965
462,40.0,0.615,5.0,12.0,0.3448275862068965
463,40.0,0.681875,5.0,13.0,0.3448275862068965
464,40.0,0.6825,5.0,14.0,0.3448275862068965
465,40.0,0.621875,5.0,15.0,0.3448275862068965
466,40.0,0.610625,5.0,16.0,0.3448275862068965
467,40.0,0.650625,5.0,17.0,0.3448275862068965
468,40.0,0.645625,5.0,18.0,0.3448275862068965
469,40.0,0.655625,5.0,19.0,0.3448275862068965
470,40.0,0.6125,5.0,20.0,0.3448275862068965
471,40.0,0.61375,5.0,21.0,0.3448275862068965
472,40.0,0.65625,5.0,22.0,0.3448275862068965
473,40.0,0.625625,5.0,23.0,0.3448275862068965
474,40.0,0.64125,5.0,24.0,0.3448275862068965
475,40.0,0.576875,5.0,25.0,0.3448275862068965
476,40.0,0.63375,5.0,26.0,0.3448275862068965
477,40.0,0.59625,5.0,27.0,0.3448275862068965
478,40.0,0.626875,5.0,28.0,0.3448275862068965
479,40.0,0.601875,5.0,29.0,0.3448275862068965
480,40.0,0.5975,5.0,30.0,0.3448275862068965
481,40.0,0.606875,5.0,31.0,0.3448275862068965
482,40.0,0.613125,5.0,32.0,0.3448275862068965
483,40.0,0.626875,5.0,33.0,0.3448275862068965
484,40.0,0.641875,5.0,34.0,0.3448275862068965
485,40.0,0.6125,5.0,35.0,0.3448275862068965
486,40.0,0.62625,5.0,36.0,0.3448275862068965
487,40.0,0.6325,5.0,37.0,0.3448275862068965
488,40.0,0.68375,5.0,38.0,0.3448275862068965
489,40.0,0.629375,5.0,39.0,0.3448275862068965
490,40.0,0.655625,5.0,40.0,0.3448275862068965
491,40.0,0.673125,5.0,41.0,0.3448275862068965
492,40.0,0.60625,5.0,42.0,0.3448275862068965
493,40.0,0.620625,5.0,43.0,0.3448275862068965
494,40.0,0.62,5.0,44.0,0.3448275862068965
495,40.0,0.64,5.0,45.0,0.3448275862068965
496,40.0,0.660625,5.0,46.0,0.3448275862068965
497,40.0,0.655625,5.0,47.0,0.3448275862068965
498,40.0,0.605625,5.0,48.0,0.3448275862068965
499,40.0,0.640625,5.0,49.0,0.3448275862068965
500,40.0,0.653125,5.0,0.0,0.3775862068965517
501,40.0,0.64125,5.0,1.0,0.3775862068965517
502,40.0,0.63875,5.0,2.0,0.3775862068965517
503,40.0,0.589375,5.0,3.0,0.3775862068965517
504,40.0,0.680625,5.0,4.0,0.3775862068965517
505,40.0,0.61375,5.0,5.0,0.3775862068965517
506,40.0,0.659375,5.0,6.0,0.3775862068965517
507,40.0,0.6125,5.0,7.0,0.3775862068965517
